ACCx angle,ACCy angle,GRYx Angle,GRYy Angle,GRYz Angle,CFangleX Angle,CFangleY Angle,kalmanX,kalmanY
199.65382575477474,183.15484442129983,13.30049912975,38.78000000000003,-13.790000000000001,201.07422230352404,183.57770262252836,199.6300457754938,183.15617999326867
205.01689522039848,183.4199846536222,13.58124845175,39.55000000000003,-14.14,203.55212578244868,183.79107184118467,204.99338314772123,183.419097527665
199.65382575477474,183.15484442129983,13.93218510425,40.180000000000035,-14.56,201.3535204268443,183.66133538925376,199.70005784713516,183.15650699186807
203.19859224049415,183.16728881776552,14.14274709575,40.81000000000004,-14.770000000000001,202.5447883116342,183.6169074463608,203.16115564864364,183.1661369017142
203.19859224049415,183.15484442129983,14.3884027525,41.65000000000004,-15.05,203.03533293165015,183.67566963132424,203.21300396450874,183.15577310950925
213.69006934198563,182.69428584244997,14.70424573975,42.280000000000044,-15.680000000000001,209.5545119727514,183.3388393579997,213.65096116992015,182.69516512212547
204.77514230907593,182.92990619520597,15.05518239225,42.910000000000046,-15.820000000000002,206.82726483554612,183.34547946032347,204.84567767411437,182.92738436175998
201.03751273390225,182.92990619520597,15.40611904475,43.68000000000005,-16.1,203.4937882355598,183.404135501253,201.01849815883202,182.9312463687195
203.19859224049415,183.16728881776552,15.68686836675,44.590000000000046,-16.310000000000002,203.4289703673204,183.62602749116053,203.17884989260534,183.16694931297215
204.77514230907593,182.95311840828074,15.862336693,45.22000000000005,-16.730000000000004,204.30686086287372,183.47428204143267,204.77709462750116,182.9536694285783
206.5650529325332,183.16728881776552,16.03780501925,45.85000000000005,-17.080000000000005,205.7319634351694,183.5420861072324,206.56442034984337,183.16595908253262
208.30075753621216,182.9414665486056,16.353648006500002,46.690000000000055,-17.430000000000007,207.39957709069506,183.51771437205633,208.30134156821273,182.94342087614407
204.77514230907593,182.9414665486056,16.73967832425,47.60000000000005,-17.78000000000001,205.97932834882357,183.53596567798587,204.79041192917157,182.94098781647438
201.03751273390225,182.9414665486056,17.0555213115,48.16000000000005,-17.92000000000001,203.14057617477079,183.4032662003577,201.0376209141186,182.94050223378545
208.30075753621216,182.9414665486056,17.406457964,49.00000000000006,-18.13000000000001,206.3770596526356,183.46218640930644,208.271443291194,182.94223312850932
211.60750404455644,182.92990619520597,17.687207286,49.77000000000006,-18.41000000000001,209.62762601658812,183.45081828084616,211.61806880312196,182.92974375671184
201.03751273390225,182.92990619520597,17.93286294275,50.61000000000006,-18.62000000000001,204.57182030967658,183.47427102946205,201.07187814244887,182.93005292198848
203.19859224049415,183.16728881776552,18.24870593,51.38000000000007,-18.900000000000013,203.87422066306712,183.59808170244415,203.1674245088556,183.1665459422443
204.77514230907593,182.9414665486056,18.56454891725,52.15000000000007,-19.46000000000001,204.5411108455724,183.512112610141,204.777005232431,182.9425595469391
204.77514230907593,182.9414665486056,18.8803919045,52.71000000000007,-19.670000000000012,204.80786691857452,183.39372497321978,204.77873376978164,182.94046487880968
